,country,year,region,happiness_rank,happiness_score,GDP_per_capita,Family,life_expectancy,Freedom,trust_in_government,Generosity,country_code,suicide_rate_100k,mental_disorder_rate_100k,continent
1,Afghanistan,2015,Southern Asia,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,AFG,10.13386272,17476.43937,Asia
2,Albania,2015,Central and Eastern Europe,95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,ALB,5.752940621,12994.79842,Europe
3,Algeria,2015,Middle East and Northern Africa,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,DZA,3.721063896,15742.92496,Africa
4,Angola,2015,Sub-Saharan Africa,137,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,AGO,10.78456113,15441.41869,Africa
5,Argentina,2015,Latin America and Caribbean,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,ARG,11.34454397,17195.20529,Americas
6,Armenia,2015,Central and Eastern Europe,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,ARM,7.553481767,12903.15149,Asia
7,Australia,2015,Australia and New Zealand,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,AUS,10.48302303,19299.05145,Oceania
8,Austria,2015,Western Europe,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,AUT,12.6488155,15913.42682,Europe
9,Azerbaijan,2015,Central and Eastern Europe,80,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,AZE,4.149946959,13331.52561,Asia
10,Bahrain,2015,Middle East and Northern Africa,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,BHR,6.915100348,15908.55227,Asia
11,Bangladesh,2015,Southern Asia,109,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,BGD,7.837816429,14763.09993,Asia
12,Belarus,2015,Central and Eastern Europe,59,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,BLR,22.92165327,16104.07072,Europe
13,Belgium,2015,Western Europe,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,BEL,15.98309779,16069.45778,Europe
14,Benin,2015,Sub-Saharan Africa,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,BEN,13.89877674,15144.33761,Africa
15,Bhutan,2015,Southern Asia,79,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,BTN,6.99083178,14974.05474,Asia
16,Bolivia,2015,Latin America and Caribbean,51,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,BOL,7.246462104,14829.57767,Americas
