,country,year,sex,age,suicides_no,population,suicides.100k.pop,gdp_for_year,gdp_per_capita,generation,continent
1,Albania,1987,male,15-24 years,21,312900,6.71,2156624900,796,Generation X,Europe
2,Albania,1987,male,35-54 years,16,308000,5.19,2156624900,796,Silent,Europe
3,Albania,1987,female,15-24 years,14,289700,4.83,2156624900,796,Generation X,Europe
4,Albania,1987,male,75+ years,1,21800,4.59,2156624900,796,G.I. Generation,Europe
5,Albania,1987,male,25-34 years,9,274300,3.28,2156624900,796,Boomers,Europe
6,Albania,1987,female,75+ years,1,35600,2.81,2156624900,796,G.I. Generation,Europe
7,Albania,1987,female,35-54 years,6,278800,2.15,2156624900,796,Silent,Europe
8,Albania,1987,female,25-34 years,4,257200,1.56,2156624900,796,Boomers,Europe
9,Albania,1987,male,55-74 years,1,137500,0.73,2156624900,796,G.I. Generation,Europe
13,Albania,1988,female,75+ years,2,36400,5.49,2.13E+09,769,G.I. Generation,Europe
14,Albania,1988,male,15-24 years,17,319200,5.33,2.13E+09,769,Generation X,Europe
15,Albania,1988,male,75+ years,1,22300,4.48,2.13E+09,769,G.I. Generation,Europe
16,Albania,1988,male,35-54 years,14,314100,4.46,2.13E+09,769,Silent,Europe
17,Albania,1988,male,55-74 years,4,140200,2.85,2.13E+09,769,G.I. Generation,Europe
18,Albania,1988,female,15-24 years,8,295600,2.71,2.13E+09,769,Generation X,Europe
19,Albania,1988,female,55-74 years,3,147500,2.03,2.13E+09,769,G.I. Generation,Europe
20,Albania,1988,female,25-34 years,5,262400,1.91,2.13E+09,769,Boomers,Europe
21,Albania,1988,male,25-34 years,5,279900,1.79,2.13E+09,769,Boomers,Europe
22,Albania,1988,female,35-54 years,4,284500,1.41,2.13E+09,769,Silent,Europe
25,Albania,1989,male,75+ years,2,22500,8.89,2335124988,833,G.I. Generation,Europe
26,Albania,1989,male,25-34 years,18,283600,6.35,2335124988,833,Boomers,Europe
27,Albania,1989,male,35-54 years,15,318400,4.71,2335124988,833,Silent,Europe
28,Albania,1989,male,55-74 years,6,142100,4.22,2335124988,833,G.I. Generation,Europe
29,Albania,1989,male,15-24 years,12,323500,3.71,2335124988,833,Generation X,Europe
30,Albania,1989,female,35-54 years,7,288600,2.43,2335124988,833,Silent,Europe
31,Albania,1989,female,15-24 years,5,299900,1.67,2335124988,833,Generation X,Europe
32,Albania,1989,female,25-34 years,2,266300,0.75,2335124988,833,Boomers,Europe
33,Albania,1989,female,55-74 years,1,149600,0.67,2335124988,833,G.I. Generation,Europe
37,Albania,1992,male,35-54 years,12,343800,3.49,709452584,251,Boomers,Europe
38,Albania,1992,male,15-24 years,9,263700,3.41,709452584,251,Generation X,Europe
39,Albania,1992,male,55-74 years,5,159500,3.13,709452584,251,Silent,Europe
40,Albania,1992,male,25-34 years,7,245500,2.85,709452584,251,Boomers,Europe
41,Albania,1992,female,15-24 years,7,292400,2.39,709452584,251,Generation X,Europe
42,Albania,1992,female,25-34 years,4,267400,1.5,709452584,251,Boomers,Europe
43,Albania,1992,female,35-54 years,2,323100,0.62,709452584,251,Boomers,Europe
44,Albania,1992,female,55-74 years,1,164900,0.61,709452584,251,Silent,Europe
49,Albania,1993,male,15-24 years,18,243300,7.4,1228071038,437,Generation X,Europe
50,Albania,1993,male,55-74 years,7,165000,4.24,1228071038,437,Silent,Europe
51,Albania,1993,male,75+ years,1,24200,4.13,1228071038,437,G.I. Generation,Europe
52,Albania,1993,male,25-34 years,9,230100,3.91,1228071038,437,Boomers,Europe
53,Albania,1993,female,15-24 years,10,285300,3.51,1228071038,437,Generation X,Europe
54,Albania,1993,male,35-54 years,10,350300,2.85,1228071038,437,Boomers,Europe
55,Albania,1993,female,25-34 years,7,261800,2.67,1228071038,437,Boomers,Europe
56,Albania,1993,female,35-54 years,7,331200,2.11,1228071038,437,Boomers,Europe
57,Albania,1993,female,55-74 years,2,169500,1.18,1228071038,437,Silent,Europe
58,Albania,1993,female,5-14 years,1,340300,0.29,1228071038,437,Millenials,Europe
59,Albania,1993,male,5-14 years,1,367000,0.27,1228071038,437,Millenials,Europe
61,Albania,1994,male,75+ years,2,24600,8.13,1985673798,697,G.I. Generation,Europe
62,Albania,1994,male,55-74 years,11,171400,6.42,1985673798,697,Silent,Europe
63,Albania,1994,female,75+ years,2,39900,5.01,1985673798,697,G.I. Generation,Europe
64,Albania,1994,male,25-34 years,6,231400,2.59,1985673798,697,Boomers,Europe
65,Albania,1994,male,35-54 years,9,362800,2.48,1985673798,697,Boomers,Europe
66,Albania,1994,male,15-24 years,6,242200,2.48,1985673798,697,Generation X,Europe
67,Albania,1994,female,15-24 years,6,282600,2.12,1985673798,697,Generation X,Europe
68,Albania,1994,female,25-34 years,4,261100,1.53,1985673798,697,Boomers,Europe
69,Albania,1994,female,35-54 years,2,342500,0.58,1985673798,697,Boomers,Europe
70,Albania,1994,female,55-74 years,1,174600,0.57,1985673798,697,Silent,Europe
71,Albania,1994,male,5-14 years,1,371800,0.27,1985673798,697,Millenials,Europe
73,Albania,1995,male,25-34 years,13,232900,5.58,2424499009,835,Generation X,Europe
74,Albania,1995,male,55-74 years,9,178000,5.06,2424499009,835,Silent,Europe
75,Albania,1995,female,75+ years,2,40800,4.9,2424499009,835,G.I. Generation,Europe
76,Albania,1995,female,15-24 years,13,283500,4.59,2424499009,835,Generation X,Europe
77,Albania,1995,male,15-24 years,11,241200,4.56,2424499009,835,Generation X,Europe
78,Albania,1995,male,75+ years,1,25100,3.98,2424499009,835,G.I. Generation,Europe
79,Albania,1995,male,35-54 years,14,375900,3.72,2424499009,835,Boomers,Europe
80,Albania,1995,female,25-34 years,7,264000,2.65,2424499009,835,Generation X,Europe
81,Albania,1995,female,35-54 years,8,356400,2.24,2424499009,835,Boomers,Europe
82,Albania,1995,male,5-14 years,6,376500,1.59,2424499009,835,Millenials,Europe
83,Albania,1995,female,55-74 years,2,180400,1.11,2424499009,835,Silent,Europe
84,Albania,1995,female,5-14 years,2,348700,0.57,2424499009,835,Millenials,Europe
85,Albania,1996,male,75+ years,2,25400,7.87,3314898292,1127,G.I. Generation,Europe
86,Albania,1996,male,15-24 years,17,243600,6.98,3314898292,1127,Generation X,Europe
87,Albania,1996,male,25-34 years,14,235300,5.95,3314898292,1127,Generation X,Europe
88,Albania,1996,female,15-24 years,16,287700,5.56,3314898292,1127,Generation X,Europe
89,Albania,1996,female,75+ years,2,41200,4.85,3314898292,1127,G.I. Generation,Europe
90,Albania,1996,female,25-34 years,10,267900,3.73,3314898292,1127,Generation X,Europe
91,Albania,1996,male,35-54 years,12,379600,3.16,3314898292,1127,Boomers,Europe
92,Albania,1996,female,35-54 years,9,362000,2.49,3314898292,1127,Boomers,Europe
93,Albania,1996,male,55-74 years,3,179900,1.67,3314898292,1127,Silent,Europe
94,Albania,1996,female,55-74 years,1,183100,0.55,3314898292,1127,Silent,Europe
95,Albania,1996,male,5-14 years,2,380400,0.53,3314898292,1127,Millenials,Europe
96,Albania,1996,female,5-14 years,1,354100,0.28,3314898292,1127,Millenials,Europe
97,Albania,1997,male,25-34 years,36,236000,15.25,2359903108,793,Generation X,Europe
98,Albania,1997,male,15-24 years,33,244400,13.5,2359903108,793,Generation X,Europe
99,Albania,1997,male,75+ years,3,25400,11.81,2359903108,793,G.I. Generation,Europe
100,Albania,1997,male,35-54 years,30,380800,7.88,2359903108,793,Boomers,Europe
101,Albania,1997,female,15-24 years,21,294000,7.14,2359903108,793,Generation X,Europe
102,Albania,1997,male,55-74 years,12,180300,6.66,2359903108,793,Silent,Europe
103,Albania,1997,female,25-34 years,16,273900,5.84,2359903108,793,Generation X,Europe
104,Albania,1997,female,75+ years,2,42100,4.75,2359903108,793,G.I. Generation,Europe
105,Albania,1997,female,35-54 years,7,370100,1.89,2359903108,793,Boomers,Europe
106,Albania,1997,female,5-14 years,6,361800,1.66,2359903108,793,Millenials,Europe
107,Albania,1997,male,5-14 years,4,381500,1.05,2359903108,793,Millenials,Europe
109,Albania,1998,male,75+ years,3,25800,11.63,2707123772,899,G.I. Generation,Europe
110,Albania,1998,male,15-24 years,27,248800,10.85,2707123772,899,Generation X,Europe
111,Albania,1998,female,15-24 years,32,295600,10.83,2707123772,899,Generation X,Europe
112,Albania,1998,male,25-34 years,26,240400,10.82,2707123772,899,Generation X,Europe
113,Albania,1998,male,35-54 years,29,388200,7.47,2707123772,899,Boomers,Europe
114,Albania,1998,male,55-74 years,9,183800,4.9,2707123772,899,Silent,Europe
115,Albania,1998,female,25-34 years,10,275300,3.63,2707123772,899,Generation X,Europe
116,Albania,1998,female,55-74 years,6,188200,3.19,2707123772,899,Silent,Europe
117,Albania,1998,female,35-54 years,9,372100,2.42,2707123772,899,Boomers,Europe
118,Albania,1998,male,5-14 years,2,388400,0.51,2707123772,899,Millenials,Europe
119,Albania,1998,female,5-14 years,1,363800,0.27,2707123772,899,Millenials,Europe
121,Albania,1999,male,75+ years,3,25900,11.58,3414760915,1127,G.I. Generation,Europe
122,Albania,1999,male,15-24 years,24,250600,9.58,3414760915,1127,Generation X,Europe
123,Albania,1999,female,75+ years,4,42400,9.43,3414760915,1127,G.I. Generation,Europe
124,Albania,1999,male,35-54 years,31,391100,7.93,3414760915,1127,Boomers,Europe
125,Albania,1999,male,25-34 years,19,242300,7.84,3414760915,1127,Generation X,Europe
126,Albania,1999,male,55-74 years,14,185200,7.56,3414760915,1127,Silent,Europe
127,Albania,1999,female,15-24 years,19,296800,6.4,3414760915,1127,Generation X,Europe
128,Albania,1999,female,25-34 years,13,276500,4.7,3414760915,1127,Generation X,Europe
129,Albania,1999,female,55-74 years,6,188800,3.18,3414760915,1127,Silent,Europe
130,Albania,1999,female,35-54 years,5,373600,1.34,3414760915,1127,Boomers,Europe
